RANK_ESTRATEGICO,SECCION,SUBCONJUNTO,LN_TOTAL,NIVEL_PRIORIDAD_OP,IRE_SCORE,PROB_MIN,PROB_MAX,ES_CERTEZA_SEC,certeza_en_todos,INDICE_RENTABILIDAD,fuerza_morena,PARTICIPACION_2024,fuerza_morena_norm,n_manzanas_sec,PROB_EMP_MZA_BASE
37,3018,S2,1508.0,P3_MEDIA,0.4121499999999999,0.1401,0.9383,False,False,0.35303,0.3805825242718446,0.657,,10.0,0.123645
38,3117,S2,1473.0,P3_MEDIA,0.4018966666666667,0.1345,0.9201,False,False,0.352783,0.3868175765645805,0.7104,,14.0,0.086121
39,3077,S1,1640.0,P3_MEDIA,0.44483,0.1527,1.0,True,False,0.344197,0.3562801932367149,0.7132,,11.0,0.121317
40,3032,S1,1622.0,P3_MEDIA,0.44111,0.1471,1.0,True,False,0.341221,0.3562152133580705,0.7749,,13.0,0.101795
41,3092,S1,1884.0,P3_MEDIA,0.49664,0.173,1.0,True,False,0.338925,0.3294675803900896,0.7222,,5.0,0.297984
42,3046,S1,1669.0,P3_MEDIA,0.4511333333333333,0.155,1.0,True,False,0.335481,0.3474347434743474,0.7372,,8.0,0.169175
43,3023,S1,1611.0,P3_MEDIA,0.4392399999999999,0.1507,1.0,True,False,0.328778,0.34886572654813,0.7075,,7.0,0.188246
44,2991,S1,1541.0,P3_MEDIA,0.4201666666666667,0.1455,0.9609,False,False,0.32356,0.3551948051948052,0.6396,,10.0,0.12605
45,3074,S1,1806.0,P3_MEDIA,0.4799766666666666,0.1655,1.0,True,False,0.312507,0.3202650469353948,0.6836,,10.0,0.143993
46,3059,S2,1526.0,P3_MEDIA,0.4161966666666666,0.138,0.9534,False,False,0.302568,0.3425449871465296,0.7371,,14.0,0.089185
47,3078,S1,2009.0,P3_MEDIA,0.5224033333333333,0.1839,1.0,True,False,0.281495,0.2873153336729496,0.7534,,8.0,0.195901
48,3083,S1,1786.0,P3_MEDIA,0.4760866666666666,0.1658,1.0,True,False,0.275484,0.2989977728285078,0.7389,,7.0,0.204037
