DISTRITO_LOCAL,CLAVE_DEM,DEMARCACIÓN TERRITORIAL,SECCIÓN,TOTAL DE CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,ELIGE,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,ROP,HAAC,PRMC,ECR,EVFA,AGP,RGS,CNR,VN,VOTACIÓN TOTAL,LISTA NOMINAL
33,8,LA MAGDALENA CONTRERAS,2985,2,67,143,16,16,11,15,267,3,11,4,9,1,2,1,0,0,1,1,2,,,,,,,,0,13,583,1082
33,8,LA MAGDALENA CONTRERAS,2986,2,76,153,12,10,16,23,271,5,40,7,20,8,1,0,0,2,0,1,1,,,,,,,,0,18,664,1264
33,8,LA MAGDALENA CONTRERAS,2987,2,65,151,17,8,8,13,229,4,9,4,9,7,0,0,0,0,0,2,2,,,,,,,,1,15,544,965
33,8,LA MAGDALENA CONTRERAS,2988,2,73,222,14,17,11,13,330,3,16,11,10,11,2,0,1,2,0,0,6,,,,,,,,0,29,771,1364
33,8,LA MAGDALENA CONTRERAS,2989,2,60,145,15,16,9,17,278,4,24,8,9,5,1,0,0,2,0,1,3,,,,,,,,2,30,629,1238
33,8,LA MAGDALENA CONTRERAS,2990,2,47,108,15,18,4,14,226,6,14,5,7,3,1,1,0,0,0,0,2,,,,,,,,0,20,491,951
33,8,LA MAGDALENA CONTRERAS,2991,3,64,163,12,29,15,28,336,10,26,5,14,6,0,0,2,1,1,2,8,,,,,,,,0,31,753,1525
33,8,LA MAGDALENA CONTRERAS,2992,3,61,181,13,25,16,21,357,9,25,9,17,13,0,0,1,5,1,1,6,,,,,,,,0,25,786,1633
33,8,LA MAGDALENA CONTRERAS,2993,3,60,173,17,19,19,23,331,5,39,12,14,8,2,2,1,1,0,1,3,,,,,,,,3,31,764,1690
33,8,LA MAGDALENA CONTRERAS,2994,3,55,148,24,16,26,22,351,8,48,11,22,9,3,0,2,1,0,0,1,,,,,,,,0,26,773,1848
33,8,LA MAGDALENA CONTRERAS,2995,2,30,143,12,11,18,13,200,3,16,6,5,2,3,0,0,2,0,0,7,,,,,,,,0,15,486,928
33,8,LA MAGDALENA CONTRERAS,2996,2,73,211,5,11,8,29,241,5,16,5,6,10,0,0,0,0,0,0,1,,,,,,,,0,15,636,1124
33,8,LA MAGDALENA CONTRERAS,2997,1,42,64,6,5,7,6,157,6,11,4,7,5,0,0,0,1,0,0,1,,,,,,,,0,10,332,577
33,8,LA MAGDALENA CONTRERAS,2998,2,516,167,27,1,3,16,51,1,0,1,3,11,2,0,0,0,0,0,1,,,,,,,,1,6,807,1024
33,8,LA MAGDALENA CONTRERAS,2999,2,335,168,17,9,4,18,127,4,2,2,5,5,4,0,0,2,0,0,1,,,,,,,,3,8,714,953
33,8,LA MAGDALENA CONTRERAS,3000,2,412,182,23,6,9,18,161,3,10,1,12,18,3,0,0,2,0,2,1,,,,,,,,0,10,873,1203
33,8,LA MAGDALENA CONTRERAS,3001,3,624,220,15,6,10,17,156,3,9,3,9,19,4,2,1,0,1,0,0,,,,,,,,1,15,1115,1588
33,8,LA MAGDALENA CONTRERAS,3002,2,428,113,16,3,4,10,57,0,1,1,4,21,4,0,0,0,1,0,1,,,,,,,,0,4,668,885
33,8,LA MAGDALENA CONTRERAS,3003,1,278,71,4,1,2,8,39,1,0,2,1,12,2,0,0,0,0,0,0,,,,,,,,0,1,422,605
33,8,LA MAGDALENA CONTRERAS,3004,3,312,312,8,13,16,39,298,0,9,7,10,13,4,0,0,4,0,0,2,,,,,,,,0,18,1065,1552
33,8,LA MAGDALENA CONTRERAS,3005,2,233,207,16,14,4,19,179,2,8,2,5,18,1,1,0,3,0,1,2,,,,,,,,0,11,726,1057
33,8,LA MAGDALENA CONTRERAS,3006,2,310,139,9,5,1,16,131,3,2,1,5,11,1,0,0,2,0,0,2,,,,,,,,0,17,655,886
33,8,LA MAGDALENA CONTRERAS,3007,2,342,124,9,3,5,7,71,0,10,2,5,10,1,0,1,1,0,0,0,,,,,,,,1,3,595,993
33,8,LA MAGDALENA CONTRERAS,3008,2,59,136,6,28,15,16,300,5,25,5,13,4,1,0,0,1,0,2,1,,,,,,,,2,17,636,1200
33,8,LA MAGDALENA CONTRERAS,3009,2,83,137,11,12,15,13,198,11,20,6,23,6,1,0,0,0,0,0,1,,,,,,,,1,23,561,955
33,8,LA MAGDALENA CONTRERAS,3010,1,51,119,6,13,15,15,146,6,10,4,11,5,0,1,0,0,0,0,0,,,,,,,,0,14,416,733
33,8,LA MAGDALENA CONTRERAS,3011,2,79,154,16,11,10,19,266,5,11,9,10,8,1,0,0,1,1,0,1,,,,,,,,1,20,623,1199
33,8,LA MAGDALENA CONTRERAS,3012,2,102,149,12,15,9,24,252,6,16,4,11,10,1,0,0,0,0,2,3,,,,,,,,3,18,637,1143
33,8,LA MAGDALENA CONTRERAS,3013,3,107,232,33,25,23,43,442,9,34,4,15,10,2,1,1,2,1,0,4,,,,,,,,4,21,1013,1974
33,8,LA MAGDALENA CONTRERAS,3014,3,87,256,14,18,15,31,349,5,25,8,17,9,2,0,0,4,0,0,7,,,,,,,,0,42,889,1751
33,8,LA MAGDALENA CONTRERAS,3015,3,70,214,14,12,12,23,344,5,18,5,13,18,0,1,0,4,0,1,6,,,,,,,,0,26,786,1552
33,8,LA MAGDALENA CONTRERAS,3016,3,68,228,22,20,21,32,345,10,42,13,20,12,1,0,0,2,1,0,3,,,,,,,,1,19,860,1769
33,8,LA MAGDALENA CONTRERAS,3017,3,60,213,39,11,23,37,351,8,22,13,15,8,0,0,1,3,1,0,3,,,,,,,,1,16,825,1779
33,8,LA MAGDALENA CONTRERAS,3018,2,60,162,15,6,26,19,270,2,30,8,7,10,2,0,1,3,0,1,12,,,,,,,,1,25,660,1434
33,8,LA MAGDALENA CONTRERAS,3019,3,91,257,26,23,21,28,391,4,37,7,11,12,4,1,3,1,0,1,3,,,,,,,,2,32,955,1880
33,8,LA MAGDALENA CONTRERAS,3020,1,33,109,8,6,8,6,137,4,14,1,5,2,1,1,0,4,0,1,1,,,,,,,,1,7,349,608
33,8,LA MAGDALENA CONTRERAS,3021,2,47,181,11,4,11,22,189,3,11,2,10,10,1,0,1,4,0,2,3,,,,,,,,1,22,535,956
33,8,LA MAGDALENA CONTRERAS,3022,1,7,38,0,5,3,4,42,0,2,1,5,1,0,0,0,2,0,0,0,,,,,,,,0,8,118,219
33,8,LA MAGDALENA CONTRERAS,3023,3,123,239,36,11,17,19,319,3,21,7,37,12,2,0,1,1,0,3,3,,,,,,,,5,19,878,1602
