"CLAVE
ENTIDAD","NOMBRE
ENTIDAD","CLAVE
DISTRITO",CABECERA DISTRITAL,"CLAVE
MUNICIPIO","NOMBRE
MUNICIPIO",SECCION,"PADRON
HOMBRES","PADRON
MUJERES","PADRON
NO BINARIO","PADRON
ELECTORAL","LISTA
HOMBRES","LISTA
MUJERES","LISTA
NO BINARIO","LISTA
NOMINAL",,Manzanas,,LN,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2993,891,925,0,1816,876,915,0,1791,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3083,846,967,0,1813,829,957,0,1786,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3072,830,975,0,1805,820,953,0,1773,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,5559,891,904,0,1795,868,890,0,1758,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3014,824,949,0,1773,812,937,0,1749,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2992,848,884,0,1732,837,872,0,1709,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3015,805,908,0,1713,794,895,0,1689,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,5557,832,870,0,1702,819,853,0,1672,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3069,830,871,0,1701,818,852,0,1670,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3046,789,904,0,1693,776,893,0,1669,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3067,814,865,0,1679,805,854,0,1659,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3001,751,915,0,1666,737,904,0,1641,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3077,783,884,0,1667,765,875,0,1640,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3032,785,866,0,1651,775,847,0,1622,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3023,795,838,0,1633,783,828,0,1611,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3004,714,853,0,1567,705,837,0,1542,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2991,757,799,0,1556,749,792,0,1541,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3030,732,833,0,1565,720,815,0,1535,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3059,703,841,0,1544,696,830,0,1526,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3031,731,818,0,1549,724,799,0,1523,,,,,
